N,k,m,Ac,mloss,epochs,time,t_forward,t_loss,t_optim,t_norm
50,3,2,1.000000,0.313262,11,0.477475,0.182475,0.290760,0.003061,0.000872
316,3,2,1.000000,0.316586,12,3.258586,1.160655,2.094741,0.002106,0.000893
583,3,2,1.000000,0.314525,14,7.111175,2.478586,4.628501,0.002717,0.001122
850,3,2,0.996078,0.315745,14,10.116382,3.487050,6.625905,0.002135,0.001040
1116,3,2,1.000000,0.314331,14,14.285467,4.645954,9.635241,0.002853,0.001167
1383,3,2,1.000000,0.315631,8,10.313529,3.420537,6.890485,0.001706,0.000639
1650,3,2,1.000000,0.313660,12,17.889691,5.871932,12.014288,0.002327,0.000936
1916,3,2,1.000000,0.316876,12,20.899954,6.890896,14.005714,0.002211,0.000921
2183,3,2,1.000000,0.316134,11,22.321800,7.105211,15.213017,0.002405,0.000949
2450,3,2,1.000000,0.317807,6,14.480344,4.703899,9.774620,0.001203,0.000484
2716,3,2,1.000000,0.314233,18,45.895372,14.798858,31.090990,0.003641,0.001561
2983,3,2,1.000000,0.315234,14,38.413174,12.514036,25.895326,0.002517,0.001049
3250,3,2,1.000000,0.313536,23,73.831451,23.888578,49.936043,0.004542,0.001862
3516,3,2,1.000000,0.313918,16,55.833936,18.420238,37.408826,0.003248,0.001320
3783,3,2,1.000000,0.314767,16,51.712914,17.034796,34.673594,0.003050,0.001190
