N,k,m,Ac,mloss,epochs,time,t_forward,t_loss,t_optim,t_norm
50,3,2,1.000000,0.322868,64,2.493002,0.919924,1.545549,0.014778,0.009368
383,3,2,0.991304,0.330127,64,20.595655,7.174613,13.400448,0.011305,0.008437
716,3,2,0.990698,0.334815,61,35.643989,12.436147,23.188642,0.010534,0.007866
1050,3,2,1.000000,0.333371,74,65.189735,22.445744,42.721512,0.011291,0.010208
1383,3,2,1.000000,0.333525,66,77.932490,26.389024,51.521674,0.012185,0.008660
1716,3,2,1.000000,0.334602,57,85.282985,28.752212,56.512030,0.010224,0.007716
2050,3,2,1.000000,0.335078,62,108.150473,36.568087,71.561291,0.011759,0.008451
2383,3,2,1.000000,0.332612,73,151.495233,49.191917,102.279315,0.013375,0.009604
2716,3,2,1.000000,0.335841,62,149.338939,49.346597,99.971713,0.011666,0.008094
3050,3,2,1.000000,0.337022,64,174.770667,57.718759,117.030536,0.011886,0.008549
